tweet,label
s? wose wo kurom hene agyimi a na wo ara na woagyimi,Positive
gyai na yemp saa????,Negative
ynk di  h,Positive
haha ?? anaa,Neutral
saa boi no ankasa nsm hunu y me d dodo,Negative
owuo kura ade? a  owuo rep? ade? a nkwa ntumi nnye,Positive
?kyeame dane ?hene pa a y?kyiri,Neutral
s? osuo muna na ant? a na ?kyer? s? wak?t? baabi,Positive
saa eii ??????,Neutral
anka y?reda a y?nto pono mu,Positive
benfo,Neutral
?koromfo? wua a na ne nsa na aku no,Positive
aware? tes? b?ha mu ade? s? wans? mu yie a obi agye,Positive
nsuo nkoaa ????????,Neutral
?sono nyansa na ?sono adwene,Positive
mmo way? ade? “ medi wakyi papa paa   adjoakakraba medi wakyi di makyi bi wai”,Positive
obi ak?n?de? ne d?mpo nsono,Positive
kukuw no a wode gyaa me no esi h? retw?n wo ooo,Negative
ade k?se? biara mu y? duru,Negative
nipa foo na ?ka ns?mfoo,Negative
united nso ne gyimiii deboi,Negative
?????? boa nso ooo,Neutral
akwatafo? nam du a w?n nyinaa to p?,Positive
mewie   qwophy medi wakyi di makyi bi wai,Positive
yoooo ma te,Positive
bor?fer? a ?y? d? na dua da ase?,Positive
yes o eny saa atanfo enya yn,Negative
woforo dua na wotet? a na woasi ara ne no,Positive
woamma wo y?nko antwa ank? a wo nso wontwa nk?duru,Positive
s? wob?n ?baa kwans?n ho pii a w?de ?ta b? wo,Positive
papafo? moahw? mo yerenom na moatete mo mma nyinaa no y?ma mo ammo nn? papafo?dapa,Positive
y?nnuruu s? y?ma ?hene akye a y?mma no akye,Positive
dua kor? gye ?hum a emmbu   nnipa dodo? soa nyakop?n a ?baako mmu akyakya,Positive
okunu pa ho y? na,Positive
ananse w? efie a y?nsan ne ho nk? sua kente nwene w? bonwire,Neutral
wo nso saa,Neutral
?nte saa a na ?ny? nokor? “ ?ny? dabiaa oo “ nokor? kwan k? tee””,Positive
nana konadu yiad?m asamu na ?tumfo? ab? ne din s? y?asi no asantehemaa wadi mfe  mapaninfo? se “aberewa wu na aberewa…,Positive
yoo ?din no y? obengwoha “   mepaky?w wo tumblr din de s?n mep? s? me di wakyi w? h? ”,Positive
aden wa starti twa bet anaa,Neutral
obi mm? obi bra mma no,Positive
oh saa,Neutral
yoo na ?nso wonnii makyi “   medi wakyi di makyi bi waiyoo mati”jux did,Positive
syte  ?bra ne de? woara woab?,Positive
aane me nua mano ate nanso obeng ano awo yie me tu ky? ma no da biara,Positive
medi wakyi di makyi bi wai,Positive
nyame nka wohu su oooo,Positive
daadaa nk?so? mmotae?,Positive
odo mati   jlogh medi wakyi di makyi bi wai,Positive
?tomfo? retono a de? ?hia no na ?b?,Positive
medi wakyi bii wai medaase,Positive
s wo nso wo y kwasia nti na wo tumi hu y,Negative
obi ny? b?ne ?mma ?fofor? nnya so asotwe,Positive
m?b? wo din akyere aman ??,Neutral
gyimie kasa saa,Negative
mente saa??,Positive
wonnii makyi o “   medi wakyi di makyi bi waidne ”,Positive
ah bra ????,Neutral
obi nnim obi a ?nkyer? nase,Positive
abusua p? ade? kyiri ka,Positive
b?ne ny? kr?no ny?,Positive
kaka ne ?ka ne ayamkeka fanyinam ?ka,Negative
kojo bioh anaa hwan  ??,Neutral
anidie nti na dabodabo nam a ?kotokoto? na ?ny? s? ?ntumi ntene ne mu,Negative
wonni trumu nwii a wonni ?tã ho agor?,Negative
gyimii saa,Negative
?hia broni a ?ka twi,Positive
aane “  yoo ma ti i hope s? biribi ara da bim”,Positive
mereb? makyidifo? k?k? s? ?y? afefofor? da a ?di kan ?p?p?n  m?twer? ananses?m w? me tumblr bl?go so hwehw?  ?h? na kan,Positive
me nso saa oo link up de me nka ho asem biom ????????,Negative
wagyimi nti babiara wode k?,Negative
odwanini k? n’akyiri ansa na wapem,Positive
abeiku paa saa na ote ??,Neutral
