tweet,label
nguaman di valentine,negative
wadi wo,negative
wonwuueɛ a wonnim nea wobɛnya,positive
heeheee na wu ka no bk saa nu odo saa na atu adapaa twa hiihiiiii,positive
me shock me ho sɛ wo bɛ tschew koraa,negative
hwɛ wabati ne wabasa masa😂,positive
odo no bi noe nie anaa wei aa ni odo no,neutral
aboooowaaaa me plug nensa ano yɛ kama,negative
nea ?pɔ sɛ ɛbɔdi hene daakye no firi aseɛ sua som ansa adinkra mfonini no din nea ?pɔ sɛ ɛbɔdi hene,positive
onipa a ɛnhunu ne mfomso? nnim nsakra ne bɛnefaky?,positive
"""kwasea mamma ntɔm a nka wokɔ? legon""",negative
"mmo way? adeɛ "" mepa wotchew mensu medi wakyi    medi wakyi di makyi bi wai""",positive
natsecurity foc nso se sn,neutral
so woafi w’adwene mu?,negative
na bassit vex yɛ vex mtchewwww,negative
me nua nni wo,neutral
kraman million eii,neutral
awo baako ɛna wo kyere wo hunu se eii,negative
nanso wodi agorɔ na wɔtwɛn,neutral
deɛ onyame de yɛn abɛduru nie,positive
menso medi wakyi,positive
nokwarefo? adey? ɔmma w'atanfo nnya wo,positive
wo ho yɛ hu,neutral
oh saa momɛ???,neutral
may? akɛtekyiwa menni animɛnyam nti abusua de me ashɔ abɔ ase,positive
me tan evil ne mpataa a wɔayam,negative
sammy flex dirr sɛyiaaaa na opɛ,positive
masa forget am nyame nhyira wo,positive
nyɛ saa na merep akyer,neutral
koko nkoaa aden wondidi biom anaa,negative
me w hope sɛ one day minso medi sika basabasa,positive
john kuma paaaaaaaa ayie awwwwww ghana ne nkwasea,negative
ayɛ ka sika no ashi😂😂,negative
ashawofo na ɛdi valentine,negative
wo rap asa wo hia mmoa wasɛ zoology 1057,negative
woatɛn odwan nanso wodaso kuta ne dua mu,positive
mati wai    medi wakyi di makyi bi wai,positive
snner ghana ay no derr woama woani anda h aa wode hnd no bkye boflot anaa wode btn nkatie borga oo,negative
y u nodey see ma anaa y   s,neutral
covid19 nko ara na seesei ebola aba afra mu,neutral
mi kaa s y duane ase hye a   anaa    dɛkono ase rehye a na abene,neutral
fella do me momo erh,positive
indomie anaaɛ???,neutral
?ɛsaa na ewiase te,negative
jojo ??… bra fie,positive
pass wɔn di agorɔ twɛn na,neutral
akwaaba,neutral
ɛya sua nyansa na wanyini,negative
koko nkoaa aden wondidi,negative
ah na  nu wegyimi anaa,negative
here too ei arsenal a buei aha nso a booboooo 😜,negative
wonni sika nanso wopɛ mmaa yɛde anomdwa tu tonga,negative
kontromfi yi akyea te sɛ akyeamfo? nanso ne to kɔ?,positive
na eazy ooh bro,neutral
wo yɛ aboa paa ɔɔɔɔɔɔɔɔɔɔ wo saa akoa wei??,negative
nasu ankasa no yɛ din,neutral
herh ei pain me fokn,negative
mehunui? anka nni aduro,positive
ohia kasa fa womuã na wo didi atem,negative
"aho?fɔ mete nkwa mu yi deɛ neɛ awurade ay? ama me biara y? na wo ? ""  madamfo te sn d""",positive
saa so lef me ong ??,neutral
wo yɛ aboa paa ɔɔɔɔɔɔɔɔɔɔ wo saa akoa no??,negative
yɛ ɔkwasea saaaa na afi aso,neutral
wo k pɛ orphan ei koo,positive
like london bi accra nka arsenal dey sukura wey chelsea dey east legon nti rest wai 🤣🤣🤣,negative
gyimea ne tsirmu dɛw no dooso😂😂😂,negative
wo twa picture a wayɛ wanim ti sɛ obi eyi mframa boneadɛn 😂😂😂😂😂,negative
ahoshyehye nii bia saa wkhkyd,negative
so woafi w’adwene mu?,negative
me shock me ho sɛ wo bɛ tschew koraa,negative
masa yɛ stɛdi wɔ hɔ😂😂😂,negative
y?ankoto a yɛnna,positive
wo koraa wagyimi dodo ahba lets push for him to work to find the culprits na wagyimi dodo,negative
bosom aduane koraa yɛ fa di na bayifour twɛ fiifi bomber,negative
waso y din o,negative
asem no ayɛ kɛse ama malam😃😃😃,negative
mekyiri dɔkono ne nkyenam,negative
