tweet,label,tokens,filtered_tokens
kako be shark but wo ti ewu,negative,"['kako', 'be', 'shark', 'but', 'wo', 'ti', 'ewu']","['kako', 'shark', 'ti', 'ewu']"
br ne bayie nti na me supporti man city,negative,"['br', 'ne', 'bayie', 'nti', 'na', 'me', 'supporti', 'man', 'city']","['br', 'bayie', 'nti', 'supporti', 'man', 'city']"
s woofis mada wafutuo tantan no ywo smafa dabiaa mekaewos menny celebrity s wodidimatma menso myeya wo nana,negative,"['s', 'woofis', 'mada', 'wafutuo', 'tantan', 'no', 'ywo', 'smafa', 'dabiaa', 'mekaewos', 'menny', 'celebrity', 's', 'wodidimatma', 'menso', 'myeya', 'wo', 'nana']","['woofis', 'mada', 'wafutuo', 'tantan', 'ywo', 'smafa', 'dabiaa', 'mekaewos', 'menny', 'celebrity', 'wodidimatma', 'menso', 'myeya', 'nana']"
wabɔdam anaa wo trumu yɛ nkate nkwan aseɛ,negative,"['wabɔdam', 'anaa', 'wo', 'trumu', 'yɛ', 'nkate', 'nkwan', 'aseɛ']","['wabɔdam', 'anaa', 'trumu', 'nkate', 'nkwan', 'aseɛ']"
enfa bi da bra 🤣🤣,negative,"['enfa', 'bi', 'da', 'bra', '🤣', '🤣']","['enfa', 'bra', '🤣', '🤣']"
messi saf den check en bp na wo kwame danso wo di twe da kor aaa na wawu,negative,"['messi', 'saf', 'den', 'check', 'en', 'bp', 'na', 'wo', 'kwame', 'danso', 'wo', 'di', 'twe', 'da', 'kor', 'aaa', 'na', 'wawu']","['messi', 'saf', 'den', 'check', 'en', 'bp', 'kwame', 'danso', 'twe', 'kor', 'aaa', 'wawu']"
gyae gyae na menk bi da,negative,"['gyae', 'gyae', 'na', 'menk', 'bi', 'da']","['gyae', 'gyae', 'menk']"
ah😂😂😂 na wiegyimi anaaa,negative,"['ah', '😂', '😂', '😂', 'na', 'wiegyimi', 'anaaa']","['ah', '😂', '😂', '😂', 'wiegyimi', 'anaaa']"
nea wani ny wosuro a bo wo team din wo team ne papa mu nono,negative,"['nea', 'wani', 'ny', 'wosuro', 'a', 'bo', 'wo', 'team', 'din', 'wo', 'team', 'ne', 'papa', 'mu', 'nono']","['nea', 'wani', 'ny', 'wosuro', 'bo', 'team', 'din', 'team', 'papa', 'nono']"
na steph curry no wegyimi anaa,negative,"['na', 'steph', 'curry', 'no', 'wegyimi', 'anaa']","['steph', 'curry', 'wegyimi', 'anaa']"
minute biaaa na broken heart nam mu🤣🤣,negative,"['minute', 'biaaa', 'na', 'broken', 'heart', 'nam', 'mu', '🤣', '🤣']","['minute', 'biaaa', 'broken', 'heart', 'nam', '🤣', '🤣']"
saaaa na we wu,negative,"['saaaa', 'na', 'we', 'wu']","['saaaa', 'wu']"
owura na yesu de anka bet fa woho bn,negative,"['owura', 'na', 'yesu', 'de', 'anka', 'bet', 'fa', 'woho', 'bn']","['owura', 'yesu', 'anka', 'bet', 'fa', 'woho', 'bn']"
me bo efu paa😂😂,negative,"['me', 'bo', 'efu', 'paa', '😂', '😂']","['bo', 'efu', 'paa', '😂', '😂']"
wo nyɛ papa wo🤣🤣🤣,negative,"['wo', 'nyɛ', 'papa', 'wo', '🤣', '🤣', '🤣']","['nyɛ', 'papa', '🤣', '🤣', '🤣']"
de gea odwan,negative,"['de', 'gea', 'odwan']","['gea', 'odwan']"
nyame bɛtua npp ka eii,negative,"['nyame', 'bɛtua', 'npp', 'ka', 'eii']","['nyame', 'bɛtua', 'npp', 'eii']"
lionel messi papa team ben wab da 😂😂,negative,"['lionel', 'messi', 'papa', 'team', 'ben', 'wab', 'da', '😂', '😂']","['lionel', 'messi', 'papa', 'team', 'ben', 'wab', '😂', '😂']"
eiii na rydee na broken heart yi,negative,"['eiii', 'na', 'rydee', 'na', 'broken', 'heart', 'yi']","['eiii', 'rydee', 'broken', 'heart', 'yi']"
wodeɛ sɛ wano checki hwɛ 😁,negative,"['wodeɛ', 'sɛ', 'wano', 'checki', 'hwɛ', '😁']","['wodeɛ', 'sɛ', 'wano', 'checki', 'hwɛ', '😁']"
aaaaahhhhhh so ashaiman afariwa be the gulf city no herrrrr nyankopon b tua mo ka paaaaaa branding bn nie,negative,"['aaaaahhhhhh', 'so', 'ashaiman', 'afariwa', 'be', 'the', 'gulf', 'city', 'no', 'herrrrr', 'nyankopon', 'b', 'tua', 'mo', 'ka', 'paaaaaa', 'branding', 'bn', 'nie']","['aaaaahhhhhh', 'ashaiman', 'afariwa', 'gulf', 'city', 'herrrrr', 'nyankopon', 'b', 'tua', 'paaaaaa', 'branding', 'bn', 'nie']"
but agradaa ankasa ne trim by den oo hw human fi fake so,negative,"['but', 'agradaa', 'ankasa', 'ne', 'trim', 'by', 'den', 'oo', 'hw', 'human', 'fi', 'fake', 'so']","['agradaa', 'ankasa', 'trim', 'den', 'oo', 'hw', 'human', 'fi', 'fake']"
masa wo boa koraaa 😅,negative,"['masa', 'wo', 'boa', 'koraaa', '😅']","['masa', 'boa', 'koraaa', '😅']"
mbelesem dem aaaaa na new year ababankye,negative,"['mbelesem', 'dem', 'aaaaa', 'na', 'new', 'year', 'ababankye']","['mbelesem', 'dem', 'aaaaa', 'new', 'year', 'ababankye']"
blacko gyai gyimii no cos u belong to god not karishika 😡,negative,"['blacko', 'gyai', 'gyimii', 'no', 'cos', 'u', 'belong', 'to', 'god', 'not', 'karishika', '😡']","['blacko', 'gyai', 'gyimii', 'cos', 'u', 'belong', 'god', 'karishika', '😡']"
twitter for likes and retweets mu agyimi saa ama mi ka kyere adui kraaa ɔngyi di ahiafoɔ ni adwentsrɛ diɛɛ,negative,"['twitter', 'for', 'likes', 'and', 'retweets', 'mu', 'agyimi', 'saa', 'ama', 'mi', 'ka', 'kyere', 'adui', 'kraaa', 'ɔngyi', 'di', 'ahiafoɔ', 'ni', 'adwentsrɛ', 'diɛɛ']","['twitter', 'likes', 'retweets', 'agyimi', 'saa', 'ama', 'mi', 'kyere', 'adui', 'kraaa', 'ɔngyi', 'ahiafoɔ', 'adwentsrɛ', 'diɛɛ']"
ka aba fie 🙆‍♂️ sika no ahye 😅,negative,"['ka', 'aba', 'fie', '🙆', '\u200d', '♂', '️', 'sika', 'no', 'ahye', '😅']","['aba', 'fie', '🙆', '\u200d', '♂', '️', 'sika', 'ahye', '😅']"
kyerese heaven mpo bo wo ewiese eehu o,negative,"['kyerese', 'heaven', 'mpo', 'bo', 'wo', 'ewiese', 'eehu', 'o']","['kyerese', 'heaven', 'mpo', 'bo', 'ewiese', 'eehu']"
otan hunu ara kwa,negative,"['otan', 'hunu', 'ara', 'kwa']","['otan', 'hunu', 'ara', 'kwa']"
asem bba da bi,negative,"['asem', 'bba', 'da', 'bi']","['asem', 'bba']"
