tweet,label
kako be shark but wo ti ewu,negative
br ne bayie nti na me supporti man city,negative
s woofis mada wafutuo tantan no ywo smafa dabiaa mekaewos menny celebrity s wodidimatma menso myeya wo nana,negative
wabɔdam anaa wo trumu yɛ nkate nkwan aseɛ,negative
enfa bi da bra 🤣🤣,negative
messi saf den check en bp na wo kwame danso wo di twe da kor aaa na wawu,negative
gyae gyae na menk bi da,negative
ah😂😂😂 na wiegyimi anaaa,negative
nea wani ny wosuro a bo wo team din wo team ne papa mu nono,negative
na steph curry no wegyimi anaa,negative
minute biaaa na broken heart nam mu🤣🤣,negative
saaaa na we wu,negative
owura na yesu de anka bet fa woho bn,negative
me bo efu paa😂😂,negative
wo nyɛ papa wo🤣🤣🤣,negative
de gea odwan,negative
nyame bɛtua npp ka eii,negative
lionel messi papa team ben wab da 😂😂,negative
eiii na rydee na broken heart yi,negative
wodeɛ sɛ wano checki hwɛ 😁,negative
aaaaahhhhhh so ashaiman afariwa be the gulf city no herrrrr nyankopon b tua mo ka paaaaaa branding bn nie,negative
but agradaa ankasa ne trim by den oo hw human fi fake so,negative
masa wo boa koraaa 😅,negative
mbelesem dem aaaaa na new year ababankye,negative
blacko gyai gyimii no cos u belong to god not karishika 😡,negative
twitter for likes and retweets mu agyimi saa ama mi ka kyere adui kraaa ɔngyi di ahiafoɔ ni adwentsrɛ diɛɛ,negative
ka aba fie 🙆‍♂️ sika no ahye 😅,negative
kyerese heaven mpo bo wo ewiese eehu o,negative
otan hunu ara kwa,negative
asem bba da bi,negative
trumu tanka nti you are crushing 😂😂😂 ei alhaji,negative
obi nse kofi taylor s ne gyimie nu ka sn,negative
nyame btua wonso kasia to 😂😁😊,negative
krom ayɛ hye too much yɛ tumi bisa ambulance kraa lift,negative
alatafo mma br o piii atwa mu mpena koraa omo nni bi oman ben nni kanea aaa yaamutu odo nso yaamutu,negative
